id	category	expect	phlox_result	verdict	first_error	exception
op-add	operator	PASS	PASS	CONFORMANT		
op-sub	operator	PASS	PASS	CONFORMANT		
op-mul	operator	PASS	PASS	CONFORMANT		
op-div	operator	PASS	PASS	CONFORMANT		
op-mod	operator	PASS	PASS	CONFORMANT		
op-shl	operator	PASS	PASS	CONFORMANT		
op-shr	operator	PASS	PASS	CONFORMANT		
op-lt	operator	PASS	PASS	CONFORMANT		
op-le	operator	PASS	PASS	CONFORMANT		
op-gt	operator	PASS	PASS	CONFORMANT		
op-ge	operator	PASS	PASS	CONFORMANT		
op-eq	operator	PASS	PASS	CONFORMANT		
op-ne	operator	PASS	PASS	CONFORMANT		
op-band	operator	PASS	PASS	CONFORMANT		
op-bxor	operator	PASS	PASS	CONFORMANT		
op-bor	operator	PASS	PASS	CONFORMANT		
op-and	operator	PASS	PASS	CONFORMANT		
op-or	operator	PASS	PASS	CONFORMANT		
op-assign	operator	PASS	PASS	CONFORMANT		
op-assign-add	operator	PASS	PASS	CONFORMANT		
op-assign-sub	operator	PASS	PASS	CONFORMANT		
op-assign-mul	operator	PASS	PASS	CONFORMANT		
op-assign-div	operator	PASS	PASS	CONFORMANT		
op-assign-mod	operator	PASS	PASS	CONFORMANT		
op-unary-minus	operator	PASS	PASS	CONFORMANT		
op-unary-bang	operator	PASS	PASS	CONFORMANT		
op-unary-tilde	operator	PASS	PASS	CONFORMANT		
op-preinc	operator	PASS	PASS	CONFORMANT		
op-predec	operator	PASS	PASS	CONFORMANT		
op-postinc	operator	PASS	PASS	CONFORMANT		
op-postdec	operator	PASS	PASS	CONFORMANT		
op-ternary	operator-invalid	FAIL	FAIL	CONFORMANT	line 3:14 mismatched input '1' expecting {';', ')'}	
op-bor-assign	operator-invalid	FAIL	FAIL	CONFORMANT	line 3:2 no viable alternative at input 'r |'	
op-band-assign	operator-invalid	FAIL	FAIL	CONFORMANT	line 3:2 no viable alternative at input 'r &'	
op-bxor-assign	operator-invalid	FAIL	FAIL	CONFORMANT	line 3:2 no viable alternative at input 'r ^'	
op-shl-assign	operator-invalid	FAIL	PASS	OVER		
op-shr-assign	operator-invalid	FAIL	PASS	OVER		
cast-int-to-string	cast	PASS	PASS	CONFORMANT		
cast-int-to-float	cast	PASS	PASS	CONFORMANT		
cast-float-to-int	cast	PASS	PASS	CONFORMANT		
cast-string-to-int	cast	PASS	PASS	CONFORMANT		
cast-string-to-float	cast	PASS	PASS	CONFORMANT		
cast-string-to-key	cast	PASS	PASS	CONFORMANT		
cast-key-to-string	cast	PASS	PASS	CONFORMANT		
cast-vec-to-string	cast	PASS	PASS	CONFORMANT		
cast-string-to-vec	cast	PASS	PASS	CONFORMANT		
cast-rot-to-string	cast	PASS	PASS	CONFORMANT		
cast-string-to-rot	cast	PASS	PASS	CONFORMANT		
cast-list-to-string	cast	PASS	PASS	CONFORMANT		
cast-int-to-list	cast	FAIL	PASS	OVER		
vec-add	vector-rotation	PASS	PASS	CONFORMANT		
vec-sub	vector-rotation	PASS	PASS	CONFORMANT		
vec-mul-scalar	vector-rotation	PASS	PASS	CONFORMANT		
vec-div-scalar	vector-rotation	PASS	PASS	CONFORMANT		
vec-dot	vector-rotation	PASS	PASS	CONFORMANT		
vec-cross	vector-rotation	PASS	PASS	CONFORMANT		
vec-mul-rot	vector-rotation	PASS	PASS	CONFORMANT		
vec-div-rot	vector-rotation	PASS	PASS	CONFORMANT		
rot-mul	vector-rotation	PASS	PASS	CONFORMANT		
rot-div	vector-rotation	PASS	PASS	CONFORMANT		
rot-add	vector-rotation	FAIL	PASS	OVER		
rot-sub	vector-rotation	FAIL	PASS	OVER		
list-empty	list	PASS	PASS	CONFORMANT		
